Character,Betweenness Centrality,PageRank,Degree
Loras Tyrell,0.008147253265050556,0.005917976571541068,0.13498098859315588
Grenn,0.003169696213953687,0.0034003402320905867,0.07984790874524715
Alliser Thorne,0.008155403208960167,0.0028275464030911917,0.08935361216730038
Todder,0.0003120293475494427,0.0015929178053831078,0.04752851711026616
Dareon,0.0011326529074845609,0.0015180884029582591,0.04182509505703422
Pypar,0.0025027582021695445,0.0028736186054338364,0.0741444866920152
Halder,0.0008275195503109021,0.0014807846268584841,0.045627376425855515
Donal Noye,0.0031403756866336357,0.0018297744237402859,0.06273764258555133
Cotter Pyke,0.0008223531568846791,0.0016846081032149572,0.043726235741444866
Bowen Marsh,0.005594654690848667,0.0030291569965893604,0.08745247148288973
Mace Tyrell,0.002357097169843133,0.0040366904825954834,0.08555133079847908
High Septon 1,0.00011770894660103582,0.0005181402083885272,0.026615969581749048
Jaremy Rykker,0.0014661199850304386,0.0010257459051803374,0.04752851711026616
Jyck,0.0,0.000586326359178113,0.015209125475285171
Maege Mormont,0.0009046036260193368,0.0009870045233241816,0.03802281368821293
Yohn Royce,0.0010692825434108061,0.0009698172141298216,0.03802281368821293
Denys Mallister,0.0013031372082278237,0.0014486034454612726,0.053231939163498096
Porther,2.5460931576529306e-05,0.0006506987902564955,0.028517110266159697
Tomard,0.0015368616392966935,0.0011556723104658873,0.06463878326996197
Syrio Forel,0.0,0.0006046758396645324,0.0038022813688212928
Jhogo,0.0007250959010638593,0.003673450422281618,0.057034220532319393
Quaro,9.213843759310672e-06,0.0009746714488964343,0.028517110266159697
Maekar Targaryen,0.0,0.000667875427193623,0.013307984790874524
Maester Colemon,0.00010120397538380065,0.0007781662759340298,0.03231939163498099
Jaehaerys II Targaryen,4.085040346782923e-05,0.0006602803632007057,0.015209125475285171
Aegon V Targaryen,0.001294134790155553,0.001066540970049463,0.026615969581749048
Hugh of the Vale,4.444557345904779e-06,0.0003824936782265352,0.0076045627376425855
Samwell Tarly,0.019914951998677245,0.007121089855650516,0.11406844106463879
Rast,0.0,0.0005356331810417427,0.015209125475285171
Randyll Tarly,0.00615452158315308,0.0020376885520520375,0.0741444866920152
Qhorin Halfhand,0.001598571909538639,0.0018104514510559238,0.03802281368821293
Dickon Tarly,9.269242192939805e-05,0.0006128978288715288,0.009505703422053232
Mathis Rowan,0.0014778681561297203,0.0011037849952918555,0.058935361216730035
Janos Slynt,0.01318046201922281,0.002594555906010859,0.10456273764258556
Shireen Baratheon,0.0018145830462970522,0.001778527392523268,0.04752851711026616
Paxter Redwyne,0.0016808011881837268,0.0016348086930202772,0.060836501901140684
Margaery Tyrell,0.00485894149288332,0.005026749387033862,0.11216730038022814
Beric Dondarrion,0.0011944550803216173,0.002064974037499675,0.051330798479087454
Tobho Mott,1.3466363187880785e-05,0.00041170450945855324,0.011406844106463879
Gendry,0.004230765146671397,0.0031727716979220197,0.06653992395437262
Masha Heddle,0.0001007391677577788,0.0005797401695872421,0.02091254752851711
Jason Mallister,0.0042491528772368725,0.0012073695433129478,0.053231939163498096
Patrek Mallister,7.087864023795352e-05,0.0007180632648259597,0.028517110266159697
Shella Whent,2.006351816237748e-06,0.00032201130074659015,0.0038022813688212928
Walder Frey,0.002426526052699023,0.003732927922645924,0.07984790874524715
Marillion,0.00019598756127239058,0.001275169021991298,0.039923954372623575
Jonos Bracken,0.0003052345935782682,0.0008740983141960344,0.039923954372623575
Gregor Clegane,0.007480601950535851,0.003567745341599151,0.0741444866920152
Thoros of Myr,0.0015600765409706043,0.00182126834114822,0.057034220532319393
Balon Swann,0.005382401789086362,0.0026428500539636872,0.09695817490494296
